timestamp,value1,value2,value3,value4,value5,value6
21.8,4.999999999004284e-6,4.286073121496366e-18,9.957139268785039e-16,0.0,0.0,0.0
21.9,4.9999999990041785e-6,4.1811210338761954e-18,9.958188789661243e-16,0.0,0.0,0.0
22.0,4.999999999004077e-6,4.078828461060596e-18,9.959211715389398e-16,0.0,0.0,0.0
22.1,4.999999999003978e-6,3.9791097999026076e-18,9.960208902000977e-16,0.0,0.0,0.0
22.2,4.9999999990038795e-6,3.881879447255263e-18,9.96118120552745e-16,0.0,0.0,0.0
22.3,4.9999999990037855e-6,3.787051799971591e-18,9.96212948200029e-16,0.0,0.0,0.0
22.4,4.999999999003692e-6,3.694541254904629e-18,9.963054587450959e-16,0.0,0.0,0.0
22.5,4.9999999990036025e-6,3.604262208907405e-18,9.96395737791093e-16,0.0,0.0,0.0
22.6,4.999999999003514e-6,3.5161290588329534e-18,9.964838709411673e-16,0.0,0.0,0.0
22.7,4.999999999003428e-6,3.430056201534311e-18,9.965699437984662e-16,0.0,0.0,0.0
22.8,4.999999999003343e-6,3.3459580338645054e-18,9.96654041966136e-16,0.0,0.0,0.0
22.9,4.999999999003261e-6,3.263748952676574e-18,9.967362510473239e-16,0.0,0.0,0.0
23.0,4.9999999990031815e-6,3.183343354823544e-18,9.968166566451768e-16,0.0,0.0,0.0
23.1,4.999999999003102e-6,3.1047049620601766e-18,9.968952950379402e-16,0.0,0.0,0.0
23.2,4.999999999003026e-6,3.027876604367186e-18,9.969721233956331e-16,0.0,0.0,0.0
23.3,4.99999999900295e-6,2.9528319878194445e-18,9.97047168012181e-16,0.0,0.0,0.0
23.4,4.9999999990028775e-6,2.8795425552065473e-18,9.971204574447938e-16,0.0,0.0,0.0
23.5,4.999999999002805e-6,2.807979749318078e-18,9.971920202506822e-16,0.0,0.0,0.0
23.6,4.999999999002736e-6,2.738115012943629e-18,9.972618849870568e-16,0.0,0.0,0.0
23.7,4.999999999002667e-6,2.6699197888727912e-18,9.973300802111277e-16,0.0,0.0,0.0
23.8,4.9999999990026005e-6,2.603365519895149e-18,9.973966344801052e-16,0.0,0.0,0.0
23.9,4.999999999002536e-6,2.538423648800297e-18,9.974615763512e-16,0.0,0.0,0.0
24.0,4.999999999002473e-6,2.4750656183778194e-18,9.975249343816226e-16,0.0,0.0,0.0
24.1,4.999999999002411e-6,2.4132628714173084e-18,9.97586737128583e-16,0.0,0.0,0.0
24.2,4.999999999002351e-6,2.352986850708354e-18,9.976470131492922e-16,0.0,0.0,0.0
24.3,4.999999999002292e-6,2.2942089990405425e-18,9.977057910009597e-16,0.0,0.0,0.0
24.4,4.9999999990022346e-6,2.236900759203467e-18,9.977630992407972e-16,0.0,0.0,0.0
24.5,4.999999999002179e-6,2.1810335739867123e-18,9.978189664260137e-16,0.0,0.0,0.0
24.6,4.9999999990021244e-6,2.12657888617987e-18,9.978734211138207e-16,0.0,0.0,0.0
24.7,4.999999999002071e-6,2.073508138572531e-18,9.97926491861428e-16,0.0,0.0,0.0
24.8,4.999999999002019e-6,2.021792773954281e-18,9.979782072260464e-16,0.0,0.0,0.0
24.9,4.9999999990019694e-6,1.971404235114713e-18,9.980285957648857e-16,0.0,0.0,0.0
25.0,4.9999999990019195e-6,1.922313964843412e-18,9.980776860351571e-16,0.0,0.0,0.0
25.1,4.999999999001873e-6,1.87449340592997e-18,9.981255065940707e-16,0.0,0.0,0.0
25.2,4.9999999990018254e-6,1.827914001163977e-18,9.981720859988366e-16,0.0,0.0,0.0
25.3,4.9999999990017806e-6,1.7825471933350203e-18,9.982174528066657e-16,0.0,0.0,0.0
25.4,4.999999999001736e-6,1.738364425232691e-18,9.982616355747679e-16,0.0,0.0,0.0
25.5,4.999999999001693e-6,1.695337139646575e-18,9.98304662860354e-16,0.0,0.0,0.0
25.6,4.999999999001651e-6,1.6534367793662643e-18,9.983465632206345e-16,0.0,0.0,0.0
25.7,4.99999999900161e-6,1.6126347871813492e-18,9.983873652128192e-16,0.0,0.0,0.0
25.8,4.9999999990015705e-6,1.5729026058814161e-18,9.984270973941192e-16,0.0,0.0,0.0
25.9,4.999999999001532e-6,1.5342116782560565e-18,9.984657883217446e-16,0.0,0.0,0.0
26.0,4.999999999001494e-6,1.496533447094857e-18,9.985034665529057e-16,0.0,0.0,0.0
26.1,4.999999999001458e-6,1.459839355187409e-18,9.985401606448133e-16,0.0,0.0,0.0
26.2,4.999999999001422e-6,1.4241008453233023e-18,9.985758991546773e-16,0.0,0.0,0.0
26.3,4.999999999001387e-6,1.3892893602921239e-18,9.986107106397085e-16,0.0,0.0,0.0
26.4,4.999999999001353e-6,1.3553763428834653e-18,9.986446236571173e-16,0.0,0.0,0.0
